😅,1,people,Tue,23:38:21,111,toulouse
,0,,Tue,23:38:16,1054,toulouse
,0,,Tue,23:38:14,162,toulouse
,0,,Tue,23:38:05,111,toulouse
,0,,Tue,23:38:02,166,toulouse
,0,,Tue,23:37:43,681,toulouse
,0,,Tue,23:37:38,76,toulouse
,0,,Tue,23:37:36,109,toulouse
,0,,Tue,23:37:31,4965,toulouse
,0,,Tue,23:37:20,224,toulouse
,0,,Tue,23:36:59,330,toulouse
😊,1,people,Tue,23:36:55,487,toulouse
,0,,Tue,23:36:46,224,toulouse
,0,,Tue,23:36:13,111,toulouse
😂,1,people,Tue,23:36:12,218,toulouse
,0,,Tue,23:36:05,32,toulouse
😭,1,people,Tue,23:36:02,869,toulouse
,0,,Tue,23:35:57,579,toulouse
,0,,Tue,23:35:55,10,toulouse
,0,,Tue,23:35:54,704,toulouse
😂😭,2,people people,Tue,23:35:40,249,toulouse
,0,,Tue,23:35:33,1427,toulouse
,0,,Tue,23:35:31,255,toulouse
,0,,Tue,23:35:09,463,toulouse
,0,,Tue,23:35:02,209,toulouse
,0,,Tue,23:34:58,155,toulouse
,0,,Tue,23:34:50,524,toulouse
,0,,Tue,23:34:45,55,toulouse
❤️,1,symbols,Tue,23:34:43,127,toulouse
😂😭,2,people people,Tue,23:34:29,487,toulouse
,0,,Tue,23:34:20,85,toulouse
,0,,Tue,23:34:17,86,toulouse
,0,,Tue,23:34:14,224,toulouse
😤🏼✋,3,people modifier people,Tue,23:33:45,97,toulouse
,0,,Tue,23:33:44,224,toulouse
😂,1,people,Tue,23:33:44,151,toulouse
,0,,Tue,23:33:41,221,toulouse
😌,1,people,Tue,23:33:30,151,toulouse
,0,,Tue,23:33:25,32,toulouse
,0,,Tue,23:33:24,224,toulouse
,0,,Tue,23:33:16,49,toulouse
😅😭,2,people people,Tue,23:33:14,92,toulouse
,0,,Tue,23:33:10,421,toulouse
😂,1,people,Tue,23:33:04,221,toulouse
,0,,Tue,23:33:02,1928,toulouse
,0,,Tue,23:32:54,463,toulouse
😌,1,people,Tue,23:32:50,221,toulouse
,0,,Tue,23:32:45,379,toulouse
,0,,Tue,23:32:38,442,toulouse
😤🏼✋,3,people modifier people,Tue,23:32:23,224,toulouse
,0,,Tue,23:32:07,391,toulouse
😭,1,people,Tue,23:31:59,591,toulouse
,0,,Tue,23:31:54,106,toulouse
,0,,Tue,23:31:20,200,toulouse
😭,1,people,Tue,23:31:19,869,toulouse
,0,,Tue,23:31:11,586,toulouse
,0,,Tue,23:30:58,109,toulouse
,0,,Tue,23:30:52,32,toulouse
,0,,Tue,23:30:30,109,toulouse
,0,,Tue,23:30:20,442,toulouse
,0,,Tue,23:30:16,247,toulouse
,0,,Tue,23:30:13,385,toulouse
,0,,Tue,23:30:08,1191,toulouse
,0,,Tue,23:30:03,703,toulouse
,0,,Tue,23:30:02,233,toulouse
,0,,Tue,23:29:57,290,toulouse
,0,,Tue,23:29:43,765,toulouse
,0,,Tue,23:29:41,224,toulouse
,0,,Tue,23:29:40,32,toulouse
😫,1,people,Tue,23:29:34,151,toulouse
😪,1,people,Tue,23:29:29,487,toulouse
😭,1,people,Tue,23:28:50,92,toulouse
😷😭,2,people people,Tue,23:28:49,86,toulouse
😢🙏,2,people people,Tue,23:28:48,391,toulouse
,0,,Tue,23:28:27,588,toulouse
,0,,Tue,23:28:22,224,toulouse
,0,,Tue,23:28:14,487,toulouse
,0,,Tue,23:28:12,797,toulouse
,0,,Tue,23:28:12,32,toulouse
,0,,Tue,23:28:00,264,toulouse
,0,,Tue,23:28:00,49,toulouse
,0,,Tue,23:27:56,224,toulouse
😂😭,2,people people,Tue,23:27:48,249,toulouse
,0,,Tue,23:27:44,135,toulouse
,0,,Tue,23:27:44,162,toulouse
😂,1,people,Tue,23:27:33,487,toulouse
,0,,Tue,23:27:28,463,toulouse
,0,,Tue,23:27:20,765,toulouse
,0,,Tue,23:27:14,49,toulouse
,0,,Tue,23:27:12,815,toulouse
,0,,Tue,23:27:08,504,toulouse
😂😪,2,people people,Tue,23:27:04,635,toulouse
,0,,Tue,23:26:52,302,toulouse
,0,,Tue,23:26:39,33,toulouse
,0,,Tue,23:26:38,464,toulouse
,0,,Tue,23:26:34,869,toulouse
,0,,Tue,23:26:22,142,toulouse
😭,1,people,Tue,23:26:20,224,toulouse
,0,,Tue,23:26:19,118,toulouse
,0,,Tue,23:26:14,436,toulouse
,0,,Tue,23:26:13,69,toulouse
👍🏻👌,3,people modifier people,Tue,23:26:13,264,toulouse
,0,,Tue,23:26:12,62,toulouse
😂😭,2,people people,Tue,23:26:00,487,toulouse
,0,,Tue,23:25:57,109,toulouse
,0,,Tue,23:25:55,461,toulouse
😂😪,2,people people,Tue,23:25:53,86,toulouse
,0,,Tue,23:25:53,69,toulouse
,0,,Tue,23:25:46,598,toulouse
,0,,Tue,23:25:39,463,toulouse
,0,,Tue,23:25:37,121,toulouse
➡️,1,symbols,Tue,23:25:15,66,toulouse
,0,,Tue,23:25:11,665,toulouse
,0,,Tue,23:25:09,880,toulouse
,0,,Tue,23:25:04,63,toulouse
,0,,Tue,23:25:01,396,toulouse
,0,,Tue,23:24:53,652,toulouse
,0,,Tue,23:24:44,890,toulouse
,0,,Tue,23:24:44,969,toulouse
,0,,Tue,23:24:37,92,toulouse
,0,,Tue,23:24:31,858,toulouse
😭,1,people,Tue,23:24:30,224,toulouse
😂😌,2,people people,Tue,23:24:28,487,toulouse
,0,,Tue,23:24:23,129,toulouse
,0,,Tue,23:24:12,857,toulouse
😂,1,people,Tue,23:24:07,30,toulouse
,0,,Tue,23:24:03,218,toulouse
,0,,Tue,23:24:02,1031,toulouse
😉,1,people,Tue,23:23:59,591,toulouse
😂,1,people,Tue,23:23:54,487,toulouse
,0,,Tue,23:23:36,538,toulouse
,0,,Tue,23:23:35,487,toulouse
,0,,Tue,23:23:24,188,toulouse
,0,,Tue,23:23:13,765,toulouse
,0,,Tue,23:22:58,463,toulouse
🎶,1,symbols,Tue,23:22:56,378,toulouse
,0,,Tue,23:22:55,111,toulouse
😂,1,people,Tue,23:22:49,410,toulouse
😳😁,2,people people,Tue,23:22:46,109,toulouse
🙈😍,2,nature people,Tue,23:22:45,2219,toulouse
😂,1,people,Tue,23:22:36,86,toulouse
,0,,Tue,23:22:33,385,toulouse
,0,,Tue,23:22:26,152,toulouse
,0,,Tue,23:22:14,129,toulouse
,0,,Tue,23:22:14,3053,toulouse
😂,1,people,Tue,23:22:02,385,toulouse
,0,,Tue,23:22:02,50,toulouse
,0,,Tue,23:22:01,109,toulouse
,0,,Tue,23:21:57,84,toulouse
,0,,Tue,23:21:46,254,toulouse
😂,1,people,Tue,23:21:40,1124,toulouse
,0,,Tue,23:21:25,461,toulouse
,0,,Tue,23:21:22,264,toulouse
,0,,Tue,23:21:21,587,toulouse
,0,,Tue,23:21:21,369,toulouse
,0,,Tue,23:21:10,369,toulouse
,0,,Tue,23:20:54,369,toulouse
,0,,Tue,23:20:49,369,toulouse
,0,,Tue,23:20:43,920,toulouse
😂,1,people,Tue,23:20:41,124,toulouse
,0,,Tue,23:20:32,369,toulouse
,0,,Tue,23:20:28,265,toulouse
,0,,Tue,23:20:18,1006,toulouse
,0,,Tue,23:20:18,369,toulouse
,0,,Tue,23:20:16,264,toulouse
,0,,Tue,23:20:13,487,toulouse
,0,,Tue,23:20:12,172,toulouse
,0,,Tue,23:20:07,264,toulouse
,0,,Tue,23:19:58,109,toulouse
,0,,Tue,23:19:49,264,toulouse
,0,,Tue,23:19:47,369,toulouse
,0,,Tue,23:19:31,1168,toulouse
,0,,Tue,23:19:28,369,toulouse
,0,,Tue,23:19:28,224,toulouse
❤️,1,symbols,Tue,23:19:26,487,toulouse
😂,1,people,Tue,23:19:25,145,toulouse
,0,,Tue,23:19:24,279,toulouse
,0,,Tue,23:19:19,224,toulouse
,0,,Tue,23:19:13,556,toulouse
,0,,Tue,23:19:01,1954,toulouse
😂,1,people,Tue,23:19:00,86,toulouse
😔,1,people,Tue,23:18:55,224,toulouse
🍀,1,nature,Tue,23:18:51,220,toulouse
,0,,Tue,23:18:45,731,toulouse
😂,1,people,Tue,23:18:37,111,toulouse
,0,,Tue,23:18:36,369,toulouse
,0,,Tue,23:18:35,67,toulouse
,0,,Tue,23:18:33,109,toulouse
,0,,Tue,23:18:28,224,toulouse
,0,,Tue,23:18:26,369,toulouse
,0,,Tue,23:18:26,234,toulouse
,0,,Tue,23:18:23,53,toulouse
😅,1,people,Tue,23:18:19,111,toulouse
,0,,Tue,23:18:17,369,toulouse
,0,,Tue,23:18:14,264,toulouse
,0,,Tue,23:18:06,218,toulouse
,0,,Tue,23:18:06,466,toulouse
😘,1,people,Tue,23:18:01,1,toulouse
,0,,Tue,23:17:58,369,toulouse
,0,,Tue,23:17:53,71,toulouse
,0,,Tue,23:17:53,69,toulouse
,0,,Tue,23:17:49,404,toulouse
,0,,Tue,23:17:46,618,toulouse
,0,,Tue,23:17:43,369,toulouse
,0,,Tue,23:17:42,111,toulouse
,0,,Tue,23:17:31,67,toulouse
💤😴,2,people people,Tue,23:17:28,220,toulouse
😐,1,people,Tue,23:17:28,151,toulouse
😘,1,people,Tue,23:17:03,238,toulouse
,0,,Tue,23:17:02,224,toulouse
,0,,Tue,23:16:58,369,toulouse
,0,,Tue,23:16:58,123,toulouse
,0,,Tue,23:16:50,284,toulouse
,0,,Tue,23:16:41,624,toulouse
🙈,1,nature,Tue,23:16:38,220,toulouse
,0,,Tue,23:16:38,224,toulouse
😂😭,2,people people,Tue,23:16:35,91,toulouse
,0,,Tue,23:16:33,369,toulouse
,0,,Tue,23:16:31,1954,toulouse
,0,,Tue,23:16:31,69,toulouse
,0,,Tue,23:16:18,46,toulouse
😭,1,people,Tue,23:16:14,224,toulouse
,0,,Tue,23:16:07,302,toulouse
😅😭,2,people people,Tue,23:16:06,92,toulouse
,0,,Tue,23:16:02,890,toulouse
,0,,Tue,23:15:59,857,toulouse
😋,1,people,Tue,23:15:47,220,toulouse
,0,,Tue,23:15:47,109,toulouse
,0,,Tue,23:15:43,264,toulouse
,0,,Tue,23:15:35,123,toulouse
,0,,Tue,23:15:33,380,toulouse
,0,,Tue,23:15:31,810,toulouse
,0,,Tue,23:15:30,857,toulouse
🙊,1,nature,Tue,23:15:22,220,toulouse
,0,,Tue,23:15:02,0,toulouse
,0,,Tue,23:15:01,365,toulouse
,0,,Tue,23:15:01,151,toulouse
😚,1,people,Tue,23:14:58,220,toulouse
,0,,Tue,23:14:55,333,toulouse
😂💪🏽,3,people people modifier,Tue,23:14:46,432,toulouse
,0,,Tue,23:14:37,333,toulouse
,0,,Tue,23:14:31,262,toulouse
,0,,Tue,23:14:28,264,toulouse
😂,1,people,Tue,23:14:25,86,toulouse
,0,,Tue,23:14:04,890,toulouse
,0,,Tue,23:14:02,1743,toulouse
,0,,Tue,23:13:36,900,toulouse
😂,1,people,Tue,23:13:35,224,toulouse
,0,,Tue,23:13:32,1954,toulouse
,0,,Tue,23:13:30,123,toulouse
,0,,Tue,23:13:24,264,toulouse
👿,1,people,Tue,23:13:17,618,toulouse
,0,,Tue,23:13:15,796,toulouse
😭,1,people,Tue,23:13:09,224,toulouse
,0,,Tue,23:13:03,857,toulouse
,0,,Tue,23:13:02,890,toulouse
,0,,Tue,23:13:02,91,toulouse
,0,,Tue,23:12:56,119,toulouse
😂,1,people,Tue,23:12:55,109,toulouse
😬,1,people,Tue,23:12:54,73,toulouse
,0,,Tue,23:12:54,993,toulouse
,0,,Tue,23:12:40,93,toulouse
😭,1,people,Tue,23:12:34,92,toulouse
,0,,Tue,23:12:28,300,toulouse
,0,,Tue,23:12:22,455,toulouse
,0,,Tue,23:12:15,466,toulouse
,0,,Tue,23:12:15,1021,toulouse
,0,,Tue,23:12:13,151,toulouse
🙏,1,people,Tue,23:12:11,270,toulouse
,0,,Tue,23:12:09,647,toulouse
🌚,1,nature,Tue,23:12:00,91,toulouse
,0,,Tue,23:11:50,555,toulouse
,0,,Tue,23:11:47,362,toulouse
,0,,Tue,23:11:36,333,toulouse
,0,,Tue,23:11:35,47,toulouse
,0,,Tue,23:11:33,123,toulouse
